time,surface,analytic
2.6750000000000003,-0.12732562439654355,-0.12732562439654355
2.7,-0.13522312287366192,-0.13522312287366192
2.725,-0.14274998417022763,-0.14274998417022763
2.75,-0.14988557768261265,-0.14988557768261265
2.7750000000000004,-0.15661034524498837,-0.15661034524498837
2.8000000000000003,-0.1629058547368992,-0.1629058547368992
2.825,-0.1687548506044232,-0.1687548506044232
2.85,-0.1741413011564464,-0.1741413011564464
2.875,-0.17905044250641317,-0.17905044250641317
2.9000000000000004,-0.18346881903911366,-0.18346881903911366
2.9250000000000003,-0.18738432029158902,-0.18738432029158902
2.95,-0.19078621414706964,-0.19078621414706964
2.975,-0.19366517625096022,-0.19366517625096022
3.0,-0.1960133155682483,-0.1960133155682483
3.0250000000000004,-0.19782419601228235,-0.19782419601228235
3.0500000000000003,-0.19909285408563798,-0.19909285408563798
3.075,-0.19981581248471947,-0.19981581248471947
3.1,-0.19999108963080722,-0.19999108963080722
3.125,-0.19961820510142708,-0.19961820510142708
3.1500000000000004,-0.19869818094715527,-0.19869818094715527
3.1750000000000003,-0.1972335388902485,-0.1972335388902485
3.2,-0.19522829341277878,-0.19522829341277878
3.225,-0.1926879407532169,-0.1926879407532169
3.25,-0.18961944384162505,-0.18961944384162505
3.2750000000000004,-0.18603121321474914,-0.18603121321474914
3.3000000000000003,-0.18193308396332275,-0.18193308396332275
3.325,-0.17733628877476648,-0.17733628877476648
3.35,-0.17225342714517297,-0.17225342714517297
3.375,-0.16669843084496347,-0.16669843084496347
3.4000000000000004,-0.16068652573287356,-0.16068652573287356
3.4250000000000003,-0.15423419002293348,-0.15423419002293348
3.45,-0.14735910911882757,-0.14735910911882757
3.475,-0.14008012713943316,-0.14008012713943316
3.5,-0.1324171952683997,-0.1324171952683997
3.5250000000000004,-0.12439131706934192,-0.12439131706934192
3.5500000000000003,-0.11602449091653154,-0.11602449091653154
3.575,-0.10733964969888254,-0.10733964969888254
3.6,-0.09836059796249635,-0.09836059796249635
3.625,-0.08911194666405645,-0.08911194666405645
3.6500000000000004,-0.0796190457139055,-0.0796190457139055
3.6750000000000003,-0.06990791449370508,-0.06990791449370508
3.7,-0.06000517053911697,-0.06000517053911697
3.725,-0.049937956582989246,-0.049937956582989246
3.75,-0.03973386615901251,-0.03973386615901251
3.7750000000000004,-0.029420867969760758,-0.029420867969760758
3.8000000000000003,-0.019027229226423695,-0.019027229226423695
3.825,-0.008581438170343493,-0.008581438170343493
3.85,0.0018878740112733433,0.0018878740112733433
3.875,0.012352011661449794,0.012352011661449794
3.9000000000000004,0.022782293306240015,0.022782293306240015
3.9250000000000003,0.03315013026865579,0.03315013026865579
3.95,0.04342710502824232,0.04342710502824232
3.975,0.053585049111527144,0.053585049111527144
4.0,0.06359612029984871,0.06359612029984871
4.025,0.07343287894294051,0.07343287894294051
4.05,0.08306836316910622,0.08306836316910622
4.075,0.09247616278583719,0.09247616278583719
4.1000000000000005,0.10163049166831112,0.10163049166831112
4.125,0.11050625843737075,0.11050625843737075
4.15,0.1190791352332497,0.1190791352332497
4.175,0.12732562439654352,0.12732562439654352
4.2,0.13522312287366203,0.13522312287366203
4.2250000000000005,0.14274998417022788,0.14274998417022788
4.25,0.14988557768261263,0.14988557768261263
4.275,0.15661034524498857,0.15661034524498857
4.3,0.16290585473689917,0.16290585473689917
4.325,0.16875485060442327,0.16875485060442327
4.3500000000000005,0.1741413011564465,0.1741413011564465
4.375,0.17905044250641314,0.17905044250641314
4.4,0.18346881903911372,0.18346881903911372
4.425,0.18738432029158902,0.18738432029158902
4.45,0.19078621414706964,0.19078621414706964
4.4750000000000005,0.19366517625096025,0.19366517625096025
4.5,0.19601331556824836,0.19601331556824836
4.525,0.19782419601228238,0.19782419601228238
4.55,0.19909285408563795,0.19909285408563795
4.575,0.19981581248471947,0.19981581248471947
4.6000000000000005,0.1999910896308072,0.1999910896308072
4.625,0.19961820510142708,0.19961820510142708
4.65,0.19869818094715525,0.19869818094715525
4.675,0.19723353889024853,0.19723353889024853
4.7,0.1952282934127788,0.1952282934127788
4.7250000000000005,0.19268794075321682,0.19268794075321682
4.75,0.189619443841625,0.189619443841625
4.775,0.18603121321474914,0.18603121321474914
4.800000000000001,0.1819330839633227,0.1819330839633227
4.825,0.17733628877476643,0.17733628877476643
4.8500000000000005,0.1722534271451728,0.1722534271451728
4.875,0.16669843084496339,0.16669843084496339
4.9,0.16068652573287356,0.16068652573287356
4.925000000000001,0.15423419002293318,0.15423419002293318
4.95,0.1473591091188275,0.1473591091188275
4.9750000000000005,0.14008012713943294,0.14008012713943294
5.0,0.13241719526839973,0.13241719526839973
5.025,0.12439131706934169,0.12439131706934169
5.050000000000001,0.11602449091653128,0.11602449091653128
5.075,0.10733964969888242,0.10733964969888242
5.1000000000000005,0.09836059796249622,0.09836059796249622
5.125,0.08911194666405647,0.08911194666405647
5.15,0.07961904571390536,0.07961904571390536
5.175000000000001,0.06990791449370476,0.06990791449370476
5.2,0.06000517053911683,0.06000517053911683
5.2250000000000005,0.04993795658298909,0.04993795658298909
5.25,0.03973386615901219,0.03973386615901219
5.275,0.02942086796976061,0.02942086796976061
5.300000000000001,0.019027229226423366,0.019027229226423366
5.325,0.008581438170343339,0.008581438170343339
5.3500000000000005,-0.0018878740112738515,-0.0018878740112738515
5.375,-0.012352011661449946,-0.012352011661449946
5.4,-0.022782293306240164,-0.022782293306240164
5.425000000000001,-0.033150130268655764,-0.033150130268655764
5.45,-0.043427105028241944,-0.043427105028241944
5.4750000000000005,-0.05358504911152745,-0.05358504911152745
5.5,-0.06359612029984868,-0.06359612029984868
5.525,-0.07343287894294048,-0.07343287894294048
5.550000000000001,-0.08306836316910653,-0.08306836316910653
5.575,-0.09247616278583716,-0.09247616278583716
5.6000000000000005,-0.10163049166831109,-0.10163049166831109
5.625,-0.11050625843737072,-0.11050625843737072
5.65,-0.11907913523324967,-0.11907913523324967
5.675000000000001,-0.12732562439654377,-0.12732562439654377
5.7,-0.135223122873662,-0.135223122873662
5.7250000000000005,-0.14274998417022786,-0.14274998417022786
5.75,-0.14988557768261263,-0.14988557768261263
5.775,-0.15661034524498832,-0.15661034524498832
5.800000000000001,-0.16290585473689936,-0.16290585473689936
5.825,-0.16875485060442327,-0.16875485060442327
5.8500000000000005,-0.17414130115644647,-0.17414130115644647
5.875,-0.17905044250641314,-0.17905044250641314
5.9,-0.18346881903911372,-0.18346881903911372
5.925000000000001,-0.18738432029158913,-0.18738432029158913
5.95,-0.19078621414706964,-0.19078621414706964
5.9750000000000005,-0.19366517625096025,-0.19366517625096025
6.0,-0.19601331556824833,-0.19601331556824833
6.025,-0.19782419601228238,-0.19782419601228238
6.050000000000001,-0.199092854085638,-0.199092854085638
