time,n,e,d,u,v,w,p,q,r,max_penetration
23.46,3.389649535928264,0.017353973303506656,1.1877205339298411,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.48,3.3916495359282637,0.017353973303506656,1.187920533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.5,3.3936495359282635,0.017353973303506656,1.188120533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.52,3.3956495359282632,0.017353973303506656,1.188320533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.54,3.397649535928263,0.017353973303506656,1.188520533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.56,3.399649535928263,0.017353973303506656,1.188720533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.580000000000002,3.4016495359282626,0.017353973303506656,1.188920533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.6,3.4036495359282624,0.017353973303506656,1.189120533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.62,3.405649535928262,0.017353973303506656,1.189320533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.64,3.407649535928262,0.017353973303506656,1.189520533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.66,3.4096495359282617,0.017353973303506656,1.189720533929841,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.68,3.4116495359282615,0.017353973303506656,1.1899205339298409,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.7,3.4136495359282613,0.017353973303506656,1.1901205339298409,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.72,3.415649535928261,0.017353973303506656,1.1903205339298408,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.740000000000002,3.417649535928261,0.017353973303506656,1.1905205339298408,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.76,3.4196495359282606,0.017353973303506656,1.1907205339298408,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.78,3.4216495359282604,0.017353973303506656,1.1909205339298408,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.8,3.42364953592826,0.017353973303506656,1.1911205339298407,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.82,3.42564953592826,0.017353973303506656,1.1913205339298407,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.84,3.4276495359282597,0.017353973303506656,1.1915205339298407,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.86,3.4296495359282595,0.017353973303506656,1.1917205339298407,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.88,3.4316495359282593,0.017353973303506656,1.1919205339298407,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.900000000000002,3.433649535928259,0.017353973303506656,1.1921205339298406,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.92,3.435649535928259,0.017353973303506656,1.1923205339298406,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.94,3.4376495359282586,0.017353973303506656,1.1925205339298406,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.96,3.4396495359282584,0.017353973303506656,1.1927205339298406,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
23.98,3.441649535928258,0.017353973303506656,1.1929205339298405,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.0,3.443649535928258,0.017353973303506656,1.1931205339298405,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.02,3.4456495359282577,0.017353973303506656,1.1933205339298405,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.04,3.4476495359282575,0.017353973303506656,1.1935205339298405,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.060000000000002,3.4496495359282573,0.017353973303506656,1.1937205339298405,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.080000000000002,3.451649535928257,0.017353973303506656,1.1939205339298404,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.1,3.453649535928257,0.017353973303506656,1.1941205339298404,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.12,3.4556495359282566,0.017353973303506656,1.1943205339298404,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.14,3.4576495359282564,0.017353973303506656,1.1945205339298404,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.16,3.459649535928256,0.017353973303506656,1.1947205339298403,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.18,3.461649535928256,0.017353973303506656,1.1949205339298403,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.2,3.4636495359282558,0.017353973303506656,1.1951205339298403,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.22,3.4656495359282555,0.017353973303506656,1.1953205339298403,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
24.240000000000002,3.4676495359282553,0.017353973303506656,1.1955205339298403,1.0,0.29621932618543795,0.1911289491248174,0.04826881450886902,-0.03375489375154199,-0.006615228479758897,0.34999999999999987
